性能差 - 107
外形漂亮 + 102
性能强大 + 79
Home键歪 - 88
续航不错 + 43
物流快 + 37
拍照差 - 31
价格实惠 + 55
做工不精致 - 28
摄像头差 - 26
屏幕分辨率低 - 22
系统不错 + 20
客服态度不好 - 25
手机发热 - 61
手感舒适 + 18
质量差 - 24
屏幕一般 - 17
物流慢 - 17
屏幕发红 - 36
续航时间短 - 16
喇叭一般 - 29
客服态度好 + 20
拍照不错 + 12
屏幕不错 + 8
物流慢 - 8
耳机一般 - 8
音量键松动 - 8
屏幕不灵敏 - 7
屏幕分辨率高 + 12
质量不错 + 6
通话音质差 - 6
做工精致 + 5
充电器发热 - 5
手机松动 - 5
充电快 + 4
屏幕划痕 - 8
指纹识别不错 + 8
wifi不稳定 - 7
价格贵 + 3
外形大气 + 3
屏幕坏点 - 3
恶心捆绑销售 - 3
正品 + 3
摄像头不错 + 3
操作流畅 + 3
材质不错 + 3
wifi不错 + 2
价格贵 - 2
后盖有瑕疵 - 4
喇叭不错 + 4
处理器不错 + 2
屏幕松动 - 6
指纹识别不灵敏 - 2
指纹识别方便 + 2
